name,listingDate,currentPrice,changeFromPreviousDay,offeringPrice,changeRateFromOfferingPrice,openingPrice,openingPriceToOfferingPrice,closingPriceOnFirstDay
아이스크림미디어(구.시공미디어),2024/08/30,-,%,"32,000",-%,-,%,예정
이엔셀,2024/08/23,-,%,"15,300",-%,-,%,예정
엠83,2024/08/22,-,%,"16,000",-%,-,%,예정
대신밸런스스팩18호,2024/08/22,-,%,"2,000",-%,-,%,예정
티디에스팜,2024/08/21,"52,000",0.00%,"13,000",300%,"27,000",107.69%,-
넥스트바이오메디컬,2024/08/20,"23,700",0.00%,"29,000",-18.28%,"27,000",-6.9%,"23,700"
케이쓰리아이,2024/08/20,"9,780",-7.30%,"15,500",-36.9%,"15,800",1.94%,"10,550"
전진건설로봇(구.전진중공업)(유가),2024/08/19,"22,050",6.01%,"16,500",33.64%,"27,500",66.67%,"20,550"
유라클,2024/08/16,"15,460",-7.37%,"21,000",-26.38%,"27,900",32.86%,"21,000"
교보스팩16호,2024/08/13,"2,050",0.24%,"2,000",2.5%,"2,300",15%,"2,060"
뱅크웨어글로벌,2024/08/12,"9,430",-2.78%,"16,000",-41.06%,"15,990",-0.06%,"15,750"
아이빔테크놀로지,2024/08/06,"7,420",-7.02%,"10,000",-25.8%,"10,000",0%,"13,360"
피앤에스미캐닉스,2024/07/31,"13,630",-2.15%,"22,000",-38.05%,"30,000",36.36%,"25,050"
산일전기(유가),2024/07/29,"42,450",-3.52%,"35,000",21.29%,"44,900",28.29%,"50,200"
NH스팩31호,2024/07/26,"2,025",-0.25%,"2,000",1.25%,"2,700",35%,"2,020"
SK증권스팩13호,2024/07/25,"2,070",0.00%,"2,000",3.5%,"2,885",44.25%,"2,065"
엑셀세라퓨틱스,2024/07/15,"4,905",-4.20%,"10,000",-50.95%,"12,480",24.8%,"8,330"
이베스트스팩6호,2024/07/12,"2,040",-0.24%,"2,000",2%,"2,860",43%,"2,030"
시프트업(유가),2024/07/11,"66,000",-2.08%,"60,000",10%,"79,900",33.17%,-
하스,2024/07/03,"12,450",0.40%,"16,000",-22.19%,"27,600",72.5%,"17,150"
이노스페이스,2024/07/02,"19,550",-6.46%,"43,300",-54.85%,"43,900",1.39%,"34,450"
신한글로벌액티브리츠,2024/07/01,"2,750",-0.18%,"3,000",-8.33%,-,%,"2,760"
에이치브이엠(구.한국진공야금),2024/06/28,"10,910",-6.27%,"18,000",-39.39%,"28,650",59.17%,"20,200"
하이젠알앤엠,2024/06/27,"11,200",-6.98%,"7,000",60%,"18,000",157.14%,"15,160"
한국스팩15호,2024/06/26,"2,055",0.24%,"2,000",2.75%,"3,175",58.75%,"1,983"
에스오에스랩,2024/06/25,"5,320",-2.39%,"11,500",-53.74%,"20,850",81.3%,"14,420"
에이치엠씨아이비스팩7호,2024/06/24,"2,010",0.00%,"2,000",0.5%,"2,455",22.75%,"1,958"
미래에셋비전스팩6호,2024/06/24,"2,030",-0.49%,"2,000",1.5%,"3,095",54.75%,"1,977"
한중엔시에스,2024/06/24,"42,650",-2.18%,"30,000",42.17%,"45,550",51.83%,"34,000"
KB스팩29호,2024/06/21,"2,055",-0.48%,"2,000",2.75%,"3,880",94%,"2,015"
씨어스테크놀로지,2024/06/19,"11,150",-3.96%,"17,000",-34.41%,"34,450",102.65%,"18,500"
미래에셋비전스팩5호,2024/06/19,"2,100",-0.71%,"2,000",5%,"3,300",65%,"2,060"
한국스팩14호,2024/06/19,"2,125",-0.23%,"2,000",6.25%,"3,150",57.5%,"2,055"
디비금융스팩12호,2024/06/18,"2,100",0.24%,"2,000",5%,"4,925",146.25%,"2,065"
라메디텍,2024/06/17,"12,700",-4.15%,"16,000",-20.63%,"50,000",212.5%,"24,550"
그리드위즈,2024/06/14,"32,850",-7.07%,"40,000",-17.88%,"60,600",51.5%,"49,500"
미래에셋비전스팩4호,2024/05/29,"2,040",-0.24%,"2,000",2%,"2,840",42%,"2,255"
노브랜드,2024/05/23,"15,650",-3.34%,"14,000",11.79%,"31,000",121.43%,"54,300"
아이씨티케이,2024/05/17,"6,780",-3.00%,"20,000",-66.1%,"19,990",-0.05%,"28,700"
KB스팩28호,2024/05/17,"2,145",0.47%,"2,000",7.25%,"2,330",16.5%,"2,030"
HD현대마린솔루션(구.HD현대글로벌서비스)(유가),2024/05/08,"112,500",0.00%,"83,400",34.89%,"119,900",43.76%,"163,900"
코칩,2024/05/07,"11,750",-0.84%,"18,000",-34.72%,"33,000",83.33%,"28,450"
SK증권스팩12호,2024/05/07,"2,135",0.23%,"2,000",6.75%,"2,800",40%,"2,090"
민테크,2024/05/03,"9,800",4.48%,"10,500",-6.67%,"14,900",41.9%,"12,880"
유안타스팩16호,2024/05/02,"2,040",0.25%,"2,000",2%,"3,115",55.75%,"2,005"
디앤디파마텍,2024/05/02,"29,050",1.04%,"33,000",-11.97%,"49,250",49.24%,"36,500"
제일엠앤에스(구.제일기공),2024/04/30,"10,890",-5.88%,"22,000",-50.5%,"37,700",71.36%,"27,000"
